,pic,lable,type,cursor_x,cursor_y,pos_x,xpos,pos_y,ypos,pic_width,pic_height,x,y
0,6.png,完成,纯文字,311,-525,右,300,上,-533,64,31,11,8
1,10.png,全部完成,长条文字按钮,301,-497,右,300,上,-533,532,140,1,36
2,6.png,完成,纯文字,-319,541,左,-300,下,533,64,31,-19,8
3,9.png,全部完成,长条文字按钮,16,599,中,0,下,533,352,140,16,66
4,5.png,全部完成,纯文字,90,556,中,0,下,533,130,31,90,23
5,6.png,完成,纯文字,-265,526,左,-300,下,533,64,31,35,-7
6,2.png,纯色块,方块,-306,58,左,-300,中,0,48,48,-6,58
7,4.png,纯色块,方块,-363,-495,左,-300,上,-533,120,120,-63,38
8,8.png,全部完成,长条文字按钮,-21,-475,右,300,上,-533,282,140,-321,58
9,10.png,全部完成,长条文字按钮,-348,558,左,-300,下,533,532,140,-48,25
10,6.png,完成,纯文字,-181,414,中,0,下,533,64,31,-181,-119
11,8.png,全部完成,长条文字按钮,-323,335,中,0,下,533,282,140,-323,-198
12,7.png,已完成,纯文字,-394,37,左,-300,中,0,95,31,-94,37
13,6.png,完成,纯文字,-274,5,中,0,中,0,64,31,-274,5
14,1.png,纯色块,方块,-203,-64,中,0,中,0,30,30,-203,-64
15,7.png,已完成,纯文字,-55,559,中,0,下,533,95,31,-55,26
16,5.png,全部完成,纯文字,-151,-59,中,0,中,0,130,31,-151,-59
17,3.png,纯色块,方块,-448,473,左,-300,下,533,86,86,-148,-60
18,5.png,全部完成,纯文字,278,-528,右,300,上,-533,130,31,-22,5
19,2.png,纯色块,方块,330,-32,右,300,中,0,48,48,30,-32
20,2.png,纯色块,方块,188,415,右,300,下,533,48,48,-112,-118
21,3.png,纯色块,方块,301,555,右,300,下,533,86,86,1,22
22,4.png,纯色块,方块,314,521,右,300,下,533,120,120,14,-12
23,5.png,全部完成,纯文字,258,-505,右,300,上,-533,130,31,-42,28
24,1.png,纯色块,方块,182,544,右,300,下,533,30,30,-118,11
25,7.png,已完成,纯文字,92,571,右,300,下,533,95,31,-208,38
26,8.png,全部完成,长条文字按钮,-26,-506,中,0,上,-533,282,140,-26,27
27,10.png,全部完成,长条文字按钮,-177,512,中,0,下,533,532,140,-177,-21
28,2.png,纯色块,方块,258,534,右,300,下,533,48,48,-42,1
29,8.png,全部完成,长条文字按钮,10,30,中,0,中,0,282,140,10,30
30,2.png,纯色块,方块,316,-539,右,300,上,-533,48,48,16,-6
31,8.png,全部完成,长条文字按钮,311,-549,右,300,上,-533,282,140,11,-16
32,7.png,已完成,纯文字,-239,-531,左,-300,上,-533,95,31,61,2
33,10.png,全部完成,长条文字按钮,-286,45,左,-300,中,0,532,140,14,45
34,3.png,纯色块,方块,288,6,右,300,中,0,86,86,-12,6
35,4.png,纯色块,方块,-242,-510,左,-300,上,-533,120,120,58,23
36,8.png,全部完成,长条文字按钮,230,577,右,300,下,533,282,140,-70,44
37,3.png,纯色块,方块,34,-70,中,0,中,0,86,86,34,-70
38,6.png,完成,纯文字,-265,-536,左,-300,上,-533,64,31,35,-3
39,2.png,纯色块,方块,-348,-103,中,0,中,0,48,48,-348,-103
40,9.png,全部完成,长条文字按钮,246,-494,右,300,上,-533,352,140,-54,39
